SV,peak_index,frequency_Hz,amplitude,prominence,width_Hz,left_freq_Hz,right_freq_Hz
1,36,2.880859375,-38.9477031369976,21.509686380647032,0.21079307307782003,2.7643789882395873,2.9751720613174073
1,74,3.80859375,-38.785063612449626,26.03987905739158,0.3795755897920774,3.651870088208776,4.031445678000853
1,103,4.5166015625,-49.481476788974106,9.64902197579422,0.15295664719882396,4.435601552770117,4.588558199968941
1,124,5.029296875,-51.31362394308322,1.325502049017878,0.08794019277748699,4.991345938926463,5.07928613170395
1,140,5.419921875,-49.00793139801249,10.611302140469228,0.17861361053595637,5.3348559200109165,5.513469530546873
1,185,6.5185546875,-49.94114432235327,4.036100098365182,0.2455290274498756,6.349847876719602,6.595376904169478
1,202,6.93359375,-49.385204856248734,5.618185885307518,0.15575576094089882,6.845808440588721,7.00156420152962
1,215,7.2509765625,-48.662511964996526,11.155574773646556,0.24376504479105598,7.1448049747538445,7.3885700195449004
1,257,8.2763671875,-47.605268865610874,13.676753172793298,0.41944798334102096,8.054342831884394,8.473790815225415
1,311,9.5947265625,-47.64756424061773,6.054963665642781,0.5097134281818683,9.406869437965607,9.916582866147476
