rank,subset_indices,subset_sensors,energy,utility_term,redundancy_term,geometry_term,symmetry_term,cardinality_term,total_energy_from_terms,left_count,right_count
1,"[1, 2, 5]","Sensor2, Sensor3, Sensor6",0.05380231541106184,-2.1641994300430967,1.6180007757668127,0.6000009696873482,0.0,0.0,0.05380231541106417,0.0,0.0
2,"[1, 2, 6]","Sensor2, Sensor3, Sensor7",0.0872103336616803,-1.9338384431250777,1.5901178716030349,0.4309309051837226,0.0,0.0,0.0872103336616798,0.0,0.0
3,"[0, 1, 5]","Sensor1, Sensor2, Sensor6",0.1400376027259398,-1.7655455746640296,1.51798583737117,0.38759734001879703,0.0,0.0,0.14003760272593752,0.0,0.0
4,"[0, 1, 2]","Sensor1, Sensor2, Sensor3",0.19579659537777871,-2.1641570257096743,1.5901162876266475,0.7698373334608095,0.0,0.0,0.1957965953777827,0.0,0.0
5,"[0, 2, 5]","Sensor1, Sensor3, Sensor6",0.24524199686047865,-1.5469510152084003,1.4850695405870487,0.3071234714818366,0.0,0.0,0.24524199686048498,0.0,0.0
6,"[0, 1, 6]","Sensor1, Sensor2, Sensor7",0.31175677279748015,-1.5351845877460106,1.5173553212577178,0.3295860392857713,0.0,0.0,0.31175677279747843,0.0,0.0
7,"[0, 2, 6]","Sensor1, Sensor3, Sensor7",0.3680020041541212,-1.3165900282903813,1.5155906332766835,0.16900139916782975,0.0,0.0,0.368002004154132,0.0,0.0
8,"[1, 3, 6]","Sensor2, Sensor4, Sensor7",0.395109066949189,-1.4530171630173507,1.4989192379745666,0.34920699199196636,0.0,0.0,0.39510906694918224,0.0,0.0
9,"[1, 5, 6]","Sensor2, Sensor6, Sensor7",0.42739170193473086,-1.535226992079433,1.5750213539953664,0.38759734001879703,0.0,0.0,0.42739170193473036,0.0,0.0
10,"[0, 1, 3]","Sensor1, Sensor2, Sensor4",0.44207215187554283,-1.6833357456019473,1.4914278561642051,0.633980041313285,0.0,0.0,0.44207215187554283,0.0,0.0
